,league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,previous_season_position,is_in_europe,prev_minutes_per_match_1,prev_full_matches_played_1,prev_xg_performance_1,prev_npxg_performance_1,prev_xg_per_shot_1,prev_penalty_taker_1,prev_goals_per_90_1,prev_assists_per_90_1,prev_ga_per_90_1,prev_xg_per_90_1,prev_xa_per_90_1,prev_goals_1,prev_goals_2,main_pos,position_1,position_2,position_3,position_4
86,ENG-Premier League,2122,Brighton,aaron connolly,1,2021,220,7991,F S,4,152,0,0.5994888693094254,0,0.5994888693094254,0,0.3804109990596771,2,1,0,0,1.0079350173473358,0.028034599497914314,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,1,0
486,ENG-Premier League,2122,West Ham,aaron cresswell,1,2021,81,534,D,31,2734,2,0.9124326836317778,2,0.9124326836317778,3,3.6705835554748774,18,31,3,0,10.5436932425946,9.624675979837775,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
1038,ENG-Premier League,2223,West Ham,aaron cresswell,1,2022,81,534,D S,28,2231,0,0.41903596371412277,0,0.41903596371412277,1,3.1738543678075075,9,40,3,0,6.406579466536641,5.813743421807885,7.0,1.0,88.19354838709677,30.377777777777776,1.0875673163682222,1.0875673163682222,0.05069070464620987,0.0,0.06583760058522312,0.09875640087783467,0.1645940014630578,0.030036189292926115,0.12083120702002158,2,0,1,1,0,0,0
1610,ENG-Premier League,2324,West Ham,aaron cresswell,1,2023,81,534,D S,11,414,0,0.0,0,0.0,0,0.4446245804429054,0,5,1,0,0.32303913682699203,0.2730376645922661,14.0,1.0,79.67857142857143,24.788888888888888,-0.41903596371412277,-0.41903596371412277,0.04655955152379142,0.0,0.0,0.04034065441506051,0.04034065441506051,0.016904184999673263,0.12803536221545303,0,2,1,1,0,0,0
2166,ENG-Premier League,2425,West Ham,aaron cresswell,1,2024,81,534,D S,18,821,0,0.1508999690413475,0,0.1508999690413475,0,1.589625921100378,5,9,3,0,2.41888221912086,1.7282752357423306,9.0,0.0,37.63636363636363,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09665751748758815,0,0,1,1,0,0,0
620,ENG-Premier League,2223,Brentford,aaron hickey,1,2022,244,8942,D S,26,1958,0,0.3167129307985306,0,0.3167129307985306,1,0.6221226900815964,11,6,7,0,2.5498968306928873,2.0008020736277103,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
1177,ENG-Premier League,2324,Brentford,aaron hickey,1,2023,244,8942,D,9,749,0,0.19348732568323612,0,0.19348732568323612,0,0.04746435210108757,7,1,5,0,1.1258890461176634,0.9994768127799034,9.0,0.0,75.3076923076923,21.755555555555556,-0.3167129307985306,-0.3167129307985306,0.028792084618048233,0.0,0.0,0.045965270684371805,0.045965270684371805,0.014557795593395173,0.02859603784849013,0,0,1,1,0,0,0
2292,ENG-Premier League,2526,Brentford,aaron hickey,1,2025,244,8942,D S,6,254,0,0.1281345784664154,0,0.1281345784664154,0,0.6038424372673035,3,1,1,0,0.6008479967713356,0.5277394652366638,4.0,0.0,83.22222222222223,8.322222222222223,-0.19348732568323612,-0.19348732568323612,0.027641046526176587,0.0,0.0,0.0,0.0,0.02324947838650367,0.005703326687714127,0,0,1,1,0,0,0
112,ENG-Premier League,2122,Burnley,aaron lennon,1,2021,92,593,F M S,28,1538,2,1.0376689522527158,2,1.0376689522527158,0,0.4255148032680154,12,9,2,0,3.1641288422979414,1.9789244886487722,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,1,0
0,ENG-Premier League,2122,Arsenal,aaron ramsdale,1,2021,83,5603,GK,34,3060,0,0.0,0,0.0,0,0.0,0,0,1,0,3.995810028165579,3.995810028165579,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
537,ENG-Premier League,2223,Arsenal,aaron ramsdale,1,2022,83,5603,GK,38,3420,0,0.0,0,0.0,0,0.0,0,0,1,0,5.103533525019884,5.103533525019884,5.0,1.0,90.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1091,ENG-Premier League,2324,Arsenal,aaron ramsdale,1,2023,83,5603,GK,6,540,0,0.0,0,0.0,0,0.0,0,0,0,0,0.7832736372947693,0.7832736372947693,2.0,1.0,90.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2100,ENG-Premier League,2425,Southampton,aaron ramsdale,1,2024,74,5603,GK,30,2700,0,0.0,0,0.0,0,0.0,0,0,2,0,2.3939849622547626,2.3939849622547626,21.0,0.0,90.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2533,ENG-Premier League,2526,Newcastle United,aaron ramsdale,1,2025,86,5603,S,1,8,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,15.0,1.0,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,0,1
1235,ENG-Premier League,2324,Burnley,aaron ramsey,1,2023,92,9913,M S,14,516,0,0.4020077884197235,0,0.4020077884197235,0,0.39152228832244873,6,1,1,0,1.2944342708215117,0.5336329033598304,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0
326,ENG-Premier League,2122,Manchester United,aaron wan-bissaka,1,2021,89,5584,D M,20,1795,0,0.2879096958786249,0,0.2879096958786249,0,0.9214209783822298,5,14,2,0,5.104910586029291,4.2221742030233145,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0
892,ENG-Premier League,2223,Manchester United,aaron wan-bissaka,1,2022,89,5584,D S,19,1436,0,1.1713167987763882,0,1.1713167987763882,0,1.153474660590291,10,15,2,0,7.755331262946129,6.90122390165925,6.0,1.0,89.75,19.944444444444443,-0.2879096958786249,-0.2879096958786249,0.05758193917572498,0.0,0.0,0.0,0.0,0.014435583637368382,0.04619938053169955,0,0,1,1,0,0,0
1454,ENG-Premier League,2324,Manchester United,aaron wan-bissaka,1,2023,89,5584,D S,22,1784,0,0.14621218293905258,0,0.14621218293905258,2,1.4311098009347916,3,12,4,0,7.737613718956709,6.425123929977417,3.0,1.0,75.57894736842105,15.955555555555556,-1.1713167987763882,-1.1713167987763882,0.11713167987763881,0.0,0.0,0.0,0.0,0.07341121997902154,0.07229298012056141,0,0,1,1,0,0,0
2167,ENG-Premier League,2425,West Ham,aaron wan-bissaka,1,2024,81,5584,D M S,36,3156,2,1.3520639296621084,2,1.3520639296621084,5,4.088755523785949,16,33,1,0,12.051966872997582,8.27124732080847,9.0,0.0,81.0909090909091,19.822222222222223,-0.14621218293905258,-0.14621218293905258,0.048737394313017525,0.0,0.0,0.10089686098654709,0.10089686098654709,0.00737617514827059,0.07219724332070136,0,0,2,0,1,0,0
2623,ENG-Premier League,2526,West Ham,aaron wan-bissaka,1,2025,81,5584,D M S,7,569,0,0.0,0,0.0,0,0.1550980806350708,0,3,0,0,0.48587775230407715,0.4045016020536423,19.0,0.0,87.66666666666667,35.06666666666667,0.6479360703378916,0.6479360703378916,0.08450399560388178,0.0,0.05703422053231939,0.14258555133079848,0.19961977186311786,0.03855695616907153,0.11659949212317343,2,0,2,0,1,0,0
185,ENG-Premier League,2122,Everton,abdoulaye doucouré,1,2021,72,1726,M S,30,2540,2,2.653875366784632,2,2.653875366784632,4,2.418744313530624,34,20,6,0,8.230574828572571,3.837187174707651,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0
729,ENG-Premier League,2223,Everton,abdoulaye doucouré,1,2022,72,1726,M S,25,1519,5,3.2140165455639362,5,3.2140165455639362,2,2.4725133273750544,20,22,6,1,5.765182003378868,1.7658195812255144,16.0,0.0,84.66666666666667,28.22222222222222,-0.6538753667846322,-0.6538753667846322,0.07805515784660683,0.0,0.07086614173228346,0.14173228346456693,0.2125984251968504,0.09403495394118776,0.08570353866840794,2,0,2,0,1,0,0
1324,ENG-Premier League,2324,Everton,abdoulaye doucouré,1,2023,72,1726,M,32,2678,7,10.20444649644196,7,10.20444649644196,1,2.55271128565073,47,33,7,0,13.33745107613504,5.22493714094162,17.0,0.0,60.76,16.877777777777776,1.7859834544360638,1.7859834544360638,0.16070082727819682,0.0,0.2962475312705728,0.11849901250822911,0.41474654377880193,0.19042889341721808,0.14649519385368986,5,2,2,0,1,0,0
1859,ENG-Premier League,2425,Everton,abdoulaye doucouré,1,2024,72,1726,M S,33,2619,3,4.050999755039811,3,4.050999755039811,2,2.317836028058082,31,27,3,1,9.89785410836339,4.922197850421071,12.0,0.0,83.6875,29.755555555555556,-3.2044464964419603,-3.2044464964419603,0.21711588290302045,0.0,0.2352501867064974,0.033607169529499624,0.268857356235997,0.34294256336063345,0.08578940093673103,7,5,2,0,1,0,0
1939,ENG-Premier League,2425,Leicester,abdul fatawu,1,2024,75,12911,D F M S,11,571,0,0.46604868955910206,0,0.46604868955910206,2,1.4724965319037437,13,6,0,0,2.3615895370021462,1.3566849753260612,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,1,0
1993,ENG-Premier League,2425,Manchester City,abduqodir khusanov,1,2024,88,11763,D,6,506,0,0.015545766800642014,0,0.015545766800642014,0,0.10573065932840109,1,2,1,0,2.7786731719970703,2.763522148132324,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
2490,ENG-Premier League,2526,Manchester City,abduqodir khusanov,1,2025,88,11763,D S,4,234,0,0.0,0,0.0,0,0.0,0,0,1,0,0.631830669939518,0.631830669939518,13.0,1.0,84.33333333333333,5.622222222222222,-0.015545766800642014,-0.015545766800642014,0.015545766800642014,0.0,0.0,0.0,0.0,0.002765057336082572,0.01880584849714644,0,0,1,1,0,0,0
407,ENG-Premier League,2122,Southampton,adam armstrong,1,2021,74,4419,F S,23,1412,2,4.238080732524395,2,4.238080732524395,2,1.624623529613018,47,13,1,0,6.2176071014255285,0.7942293044179678,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,1,0
975,ENG-Premier League,2223,Southampton,adam armstrong,1,2022,74,4419,F M S,30,1333,2,2.4375014984980226,2,2.4375014984980226,1,1.730416551232338,25,11,2,0,4.704243279993534,1.2918517235666513,15.0,0.0,61.391304347826086,15.688888888888888,-2.238080732524395,-2.238080732524395,0.09017193047924245,0.0,0.1274787535410765,0.1274787535410765,0.254957507082153,0.2701326245943311,0.10355249126428585,2,0,3,0,0,1,0
2101,ENG-Premier League,2425,Southampton,adam armstrong,1,2024,74,4419,F M S,20,1282,2,3.9334685541689396,2,3.1722997166216373,2,2.005434782244265,26,9,4,0,6.038746699690819,1.9466782938688993,21.0,0.0,44.43333333333333,14.811111111111112,-0.43750149849802256,-0.43750149849802256,0.0975000599399209,0.0,0.1350337584396099,0.06751687921980495,0.20255063765941486,0.16457249427218457,0.11683232528950518,2,2,3,0,0,1,0
216,ENG-Premier League,2122,Leeds,adam forshaw,1,2021,245,1711,M S,22,1524,0,0.4842451997101307,0,0.4842451997101307,1,1.040744410827756,14,13,5,0,6.191522343084216,4.898990090936422,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0
785,ENG-Premier League,2223,Leeds,adam forshaw,1,2022,245,1711,M S,12,470,0,0.01066362950950861,0,0.01066362950950861,0,0.4425672311335802,1,8,0,0,0.4591790921986103,0.44851546362042427,17.0,0.0,69.27272727272727,16.933333333333334,-0.4842451997101307,-0.4842451997101307,0.03458894283643791,0.0,0.0,0.05905511811023622,0.05905511811023622,0.028597157463196694,0.06146128410400133,0,0,2,0,1,0,0
379,ENG-Premier League,2122,Norwich,adam idah,1,2021,79,8021,F M S,17,611,1,1.9293015375733376,1,1.9293015375733376,1,0.46092280000448227,14,5,0,0,2.403534699231386,0.5110170058906078,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,1,0
87,ENG-Premier League,2122,Brighton,adam lallana,1,2021,220,486,F M S,24,1568,0,0.8801135998219252,0,0.8801135998219252,1,0.9317835252732038,19,8,4,0,5.6879255417734385,5.048138685524464,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,1,0
645,ENG-Premier League,2223,Brighton,adam lallana,1,2022,220,486,F M S,16,742,2,1.1926603838801384,2,1.1926603838801384,1,0.9687040857970715,8,14,0,0,3.4976200629025698,1.924544109031558,9.0,0.0,65.33333333333333,17.42222222222222,-0.8801135998219252,-0.8801135998219252,0.04632176841168027,0.0,0.0,0.05739795918367348,0.05739795918367348,0.05051672447957479,0.05348247275165074,0,0,3,0,0,1,0
1205,ENG-Premier League,2324,Brighton,adam lallana,1,2023,220,486,M S,25,875,0,0.7641588356345892,0,0.7641588356345892,1,1.4911685585975647,11,15,2,0,4.825282486155629,2.9767271457239985,6.0,1.0,46.375,8.244444444444444,0.8073396161198616,0.8073396161198616,0.1490825479850173,0.0,0.24258760107816715,0.12129380053908358,0.36388140161725074,0.14466231071322436,0.11749780016406529,2,0,2,0,1,0,0
2102,ENG-Premier League,2425,Southampton,adam lallana,1,2024,74,486,M S,14,342,0,0.15231557562947273,0,0.15231557562947273,2,0.5534783098846674,3,4,4,0,1.702550608664751,1.124756133183837,21.0,0.0,35.0,9.722222222222221,-0.7641588356345892,-0.7641588356345892,0.06946898505768993,0.0,0.0,0.10285714285714287,0.10285714285714287,0.0785991945224149,0.15337733745574952,0,2,2,0,1,0,0
456,ENG-Premier League,2122,Watford,adam masina,1,2021,90,1441,D M S,15,1073,0,0.26500319316983223,0,0.26500319316983223,1,0.8211259916424751,5,7,0,0,2.264677904546261,1.6265133209526539,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0
589,ENG-Premier League,2223,Bournemouth,adam smith,1,2022,73,825,D M S,37,2957,0,0.9768042117357254,0,0.9768042117357254,1,1.4084933251142502,5,16,11,0,4.09709825925529,3.0260829851031303,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0
1147,ENG-Premier League,2324,Bournemouth,adam smith,1,2023,73,825,D S,28,2185,0,0.03963742405176163,0,0.03963742405176163,2,1.4616671204566956,2,17,6,0,7.450475042685866,6.158073959872127,15.0,0.0,79.91891891891892,32.855555555555554,-0.9768042117357254,-0.9768042117357254,0.19536084234714507,0.0,0.0,0.03043625295908015,0.03043625295908015,0.029730260079883424,0.04286925913435324,0,0,1,1,0,0,0
1714,ENG-Premier League,2425,Bournemouth,adam smith,1,2024,73,825,D S,25,1625,0,0.3261268213391304,0,0.3261268213391304,0,0.4430896267294884,3,8,7,0,5.3390795309096575,4.7454583663493395,13.0,0.0,78.03571428571429,24.27777777777778,-0.03963742405176163,-0.03963742405176163,0.019818712025880814,0.0,0.0,0.08237986270022883,0.08237986270022883,0.0016326627755874354,0.06020596834833071,0,0,1,1,0,0,0
2269,ENG-Premier League,2526,Bournemouth,adam smith,1,2025,73,825,D,4,214,0,0.0,0,0.0,0,0.35100075602531433,0,1,0,0,1.4323759078979492,1.0813751593232155,3.0,0.0,65.0,18.055555555555557,-0.3261268213391304,-0.3261268213391304,0.1087089404463768,0.0,0.0,0.0,0.0,0.018062408566474914,0.02454034855732551,0,0,1,1,0,0,0
88,ENG-Premier League,2122,Brighton,adam webster,1,2021,220,7699,D S,22,1419,2,1.486678946763277,2,1.486678946763277,0,0.03690589964389801,8,1,5,0,3.169359415769577,3.152342416346073,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
646,ENG-Premier League,2223,Brighton,adam webster,1,2022,220,7699,D S,27,2000,0,1.5340027026832104,0,1.5340027026832104,0,0.5189482178539038,18,6,2,0,9.7150968182832,9.189998405054212,9.0,0.0,64.5,15.766666666666667,0.513321053236723,0.513321053236723,0.18583486834540963,0.0,0.12684989429175475,0.0,0.12684989429175475,0.0942925336213495,0.002340754734285286,2,0,1,1,0,0,0
1206,ENG-Premier League,2324,Brighton,adam webster,1,2023,220,7699,D S,15,1146,0,0.4553392454981804,0,0.4553392454981804,0,0.21061718463897705,8,5,1,0,6.527007706463337,6.405847318470478,6.0,1.0,74.07407407407408,22.22222222222222,-1.5340027026832104,-1.5340027026832104,0.08522237237128946,0.0,0.0,0.0,0.0,0.06903012162074447,0.02335266980342567,0,2,1,1,0,0,0
1771,ENG-Premier League,2425,Brighton,adam webster,1,2024,220,7699,D S,14,888,0,0.37646964844316244,0,0.37646964844316244,0,0.3818966709077358,5,3,1,0,4.823259890079498,4.751052476465702,11.0,0.0,76.4,12.733333333333333,-0.4553392454981804,-0.4553392454981804,0.05691740568727255,0.0,0.0,0.0,0.0,0.035759626609804744,0.016540616594684063,0,0,1,1,0,0,0
1298,ENG-Premier League,2324,Crystal Palace,adam wharton,1,2023,78,12409,M S,16,1333,0,0.35551161505281925,0,0.35551161505281925,3,2.5562784411013126,10,20,2,0,6.304625790566206,4.828129124827683,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0
1831,ENG-Premier League,2425,Crystal Palace,adam wharton,1,2024,78,12409,M S,20,1337,0,0.33576022181659937,0,0.33576022181659937,2,3.3524712435901165,13,26,2,0,6.537219719961286,5.249624631367624,10.0,0.0,83.3125,14.811111111111112,-0.35551161505281925,-0.35551161505281925,0.035551161505281925,0.0,0.0,0.20255063765941483,0.20255063765941483,0.02400303477475899,0.1725919427600286,0,0,2,0,1,0,0
2385,ENG-Premier League,2526,Crystal Palace,adam wharton,1,2025,78,12409,M,9,720,0,0.18281434010714293,0,0.18281434010714293,0,2.2419900875538588,6,14,1,0,2.9689919129014015,2.028981402516365,7.0,0.0,66.85,14.855555555555556,-0.33576022181659937,-0.33576022181659937,0.025827709370507643,0.0,0.0,0.13462976813762154,0.13462976813762154,0.022601660406502574,0.22567121310629057,0,0,2,0,1,0,0
511,ENG-Premier League,2122,Wolverhampton Wanderers,adama traoré,1,2021,229,900,F M S,20,1047,1,2.8342398293316364,1,2.8342398293316364,0,1.3370988294482231,23,18,0,0,4.757490999996662,0.907689617946744,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,1,0
1062,ENG-Premier League,2223,Wolverhampton Wanderers,adama traoré,1,2022,229,900,F M S,34,1452,2,1.420078607276082,2,1.420078607276082,1,3.1472194120287895,19,23,2,0,6.109330745413899,1.6365119582042098,10.0,0.0,52.35,11.633333333333333,-1.8342398293316364,-1.8342398293316364,0.1232278186665929,0.0,0.08595988538681949,0.0,0.08595988538681949,0.2436309308881063,0.11493686213021975,1,0,3,0,0,1,0
1349,ENG-Premier League,2324,Fulham,adama traoré,1,2023,228,900,M S,17,310,2,1.4920614697039127,2,1.4920614697039127,3,0.7020887192338705,11,7,2,0,1.841224255040288,0.19511876441538334,10.0,0.0,42.705882352941174,16.133333333333333,0.579921392723918,0.579921392723918,0.0747409793303201,0.0,0.12396694214876033,0.06198347107438017,0.1859504132231405,0.08802140127744311,0.19507558339021422,2,1,2,0,1,0,0
1885,ENG-Premier League,2425,Fulham,adama traoré,1,2024,228,900,F M S,36,1761,2,5.658592768013477,2,5.658592768013477,7,6.4245162177830935,39,43,2,0,15.521256847307086,5.082236568443477,14.0,0.0,18.235294117647058,3.4444444444444446,0.5079385302960873,0.5079385302960873,0.1356419517912648,0.0,0.5806451612903225,0.8709677419354839,1.4516129032258065,0.4331791363656521,0.20383220880983335,2,2,3,0,0,1,0
2425,ENG-Premier League,2526,Fulham,adama traoré,1,2025,228,900,M S,9,223,0,0.24974167346954346,0,0.24974167346954346,0,0.41468898579478264,5,3,0,0,1.1300891898572445,0.5027102306485176,9.0,0.0,48.916666666666664,19.566666666666666,-3.6585927680134773,-3.6585927680134773,0.14509212225675583,0.0,0.10221465076660988,0.3577512776831346,0.4599659284497445,0.28919554180648094,0.3283398407725601,2,2,2,0,1,0,0
245,ENG-Premier League,2122,Leicester,ademola lookman,1,2021,75,5556,F M S,26,1470,6,4.781360968947411,6,4.781360968947411,0,1.812361997552216,26,23,2,0,11.409113086760044,5.64014358818531,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,1,0
2270,ENG-Premier League,2526,Bournemouth,adrien truffert,1,2025,73,8640,D,11,970,0,0.15480928868055344,0,0.15480928868055344,1,0.6680842414498329,5,8,2,0,2.8489765729755163,2.1473572850227356,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
1,ENG-Premier League,2122,Arsenal,ainsley maitland-niles,1,2021,83,1750,M S,8,251,0,0.029720098711550236,0,0.029720098711550236,0,0.22736240178346634,2,3,0,0,0.6360606998205185,0.38906870782375336,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0
976,ENG-Premier League,2223,Southampton,ainsley maitland-niles,1,2022,74,1750,D M S,22,1395,0,0.013740300200879574,0,0.013740300200879574,0,0.48331243358552456,1,10,3,0,3.216860962100327,3.123183621093631,15.0,0.0,31.375,2.7888888888888888,-0.029720098711550236,-0.029720098711550236,0.014860049355775118,0.0,0.0,0.0,0.0,0.01065660909975905,0.08152436717335447,0,0,2,0,1,0,0
2103,ENG-Premier League,2425,Southampton,albert grønbæk,1,2024,74,12880,F M S,4,150,0,0.060219261795282364,0,0.060219261795282364,0,0.03122548572719097,2,1,0,0,0.08345328830182552,0.02323402650654316,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,1,0
2,ENG-Premier League,2122,Arsenal,albert sambi lokonga,1,2021,83,9689,M S,19,1125,0,0.585317600518465,0,0.585317600518465,0,0.8354285042732954,20,18,5,0,5.447862323373556,4.692085664719343,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0
538,ENG-Premier League,2223,Arsenal,albert sambi lokonga,1,2022,83,9689,M S,15,732,0,0.13070455193519592,0,0.13070455193519592,0,0.04567850008606911,2,2,2,0,0.7480293493717909,0.6000321935862303,5.0,1.0,59.21052631578947,12.5,-0.585317600518465,-0.585317600518465,0.02926588002592325,0.0,0.0,0.0,0.0,0.0468254080414772,0.06683428034186363,0,0,2,0,1,0,0
1402,ENG-Premier League,2324,Luton,albert sambi lokonga,1,2023,256,9689,M S,17,1331,1,0.7531502321362495,1,0.7531502321362495,3,1.4872490242123604,8,9,4,0,4.319001622498035,3.1800113022327423,21.0,0.0,48.8,8.133333333333333,-0.13070455193519592,-0.13070455193519592,0.06535227596759796,0.0,0.0,0.0,0.0,0.016070231795310974,0.00561620902697571,0,0,2,0,1,0,0
327,ENG-Premier League,2122,Manchester United,alejandro garnacho,1,2021,89,10552,S,2,11,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,0,1
893,ENG-Premier League,2223,Manchester United,alejandro garnacho,1,2022,89,10552,M S,19,555,3,3.8779171984642744,3,3.8779171984642744,2,1.1436776779592037,24,3,3,0,6.564013659954071,1.711940459907055,6.0,1.0,5.5,0.12222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0
1455,ENG-Premier League,2324,Manchester United,alejandro garnacho,1,2023,89,10552,M S,36,2601,7,9.865097627043724,7,9.865097627043724,4,5.915270071476698,100,46,4,0,18.36983707919717,5.9700166545808315,3.0,1.0,29.210526315789473,6.166666666666667,-0.8779171984642744,-0.8779171984642744,0.16157988326934478,0.0,0.48648648648648646,0.3243243243243243,0.8108108108108107,0.6288514375888012,0.18546124507446546,3,0,2,0,1,0,0
2023,ENG-Premier League,2425,Manchester United,alejandro garnacho,1,2024,89,10552,F M S,36,2176,6,9.43980634957552,6,9.43980634957552,2,3.4675094597041607,84,38,3,0,16.76700660586357,5.79347936809063,8.0,0.0,72.25,28.9,-2.865097627043724,-2.865097627043724,0.09865097627043724,0.0,0.24221453287197234,0.1384083044982699,0.3806228373702423,0.34135285906725693,0.2046806253106124,7,3,3,0,0,1,0
2360,ENG-Premier League,2526,Chelsea,alejandro garnacho,1,2025,80,10552,M S,6,358,1,1.1000732146203518,1,1.1000732146203518,2,1.9526503011584282,9,6,0,0,3.8568374402821064,1.8980319015681744,6.0,1.0,60.44444444444444,24.177777777777777,-3.4398063495755196,-3.4398063495755196,0.11237864701875619,0.0,0.24816176470588236,0.08272058823529412,0.33088235294117646,0.3904331670320757,0.14341721110908753,6,7,2,0,1,0,0
2271,ENG-Premier League,2526,Bournemouth,alejandro jiménez,1,2025,73,12168,D S,8,429,0,0.06405502557754517,0,0.06405502557754517,0,0.06793908774852753,3,2,4,0,0.5105042085051537,0.3935520276427269,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
1582,ENG-Premier League,2324,Tottenham,alejo véliz,1,2023,82,12105,S,8,27,1,0.20565900206565857,1,0.20565900206565857,0,0.0,2,0,1,0,0.20565900206565857,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,0,1
757,ENG-Premier League,2223,Fulham,aleksandar mitrovic,1,2022,228,773,F S,24,2022,14,16.17901684064418,10,10.089664130471647,1,2.3344982340931892,93,15,7,0,11.802805667743087,2.5752602564170957,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,1,0
1350,ENG-Premier League,2324,Fulham,aleksandar mitrovic,1,2023,228,773,S,1,31,0,0.1909874528646469,0,0.1909874528646469,0,0.0,2,0,0,0,0.1909874528646469,0.0,10.0,0.0,84.25,22.466666666666665,-2.1790168406441808,-0.08966413047164679,0.17396792301767935,1.0,0.6231454005934719,0.04451038575667656,0.6676557863501484,0.720134280740839,0.10390941694776808,14,0,4,0,0,0,1
186,ENG-Premier League,2122,Everton,alex iwobi,1,2021,72,500,D M S,28,2041,2,2.403040584176779,2,2.403040584176779,2,3.0656776819378138,24,36,1,0,9.433963952586055,5.091717269271612,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0
