,league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,previous_season_position,is_in_europe,prev_minutes_per_match_1,prev_full_matches_played_1,prev_xg_performance_1,prev_npxg_performance_1,prev_xg_per_shot_1,prev_penalty_taker_1,prev_goals_per_90_1,prev_assists_per_90_1,prev_ga_per_90_1,prev_xg_per_90_1,prev_xa_per_90_1,prev_goals_1,prev_goals_2,main_pos,position_1,position_2,position_3,position_4
238,ENG-Premier League,2122,Leeds,raphinha,1,2021,245,8026,F M S,35,2940,11,10.23054376989603,7,7.1858687195926905,3,6.939143891446292,87,64,7,0,17.002546676434577,6.288568283431232,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,1,0
1479,ENG-Premier League,2324,Manchester United,rasmus højlund,1,2023,89,11055,F S,30,2210,10,9.338883213698864,10,9.338883213698864,2,1.779460173100233,38,28,2,0,11.463255237787962,2.9498381465673447,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,1,0
2047,ENG-Premier League,2425,Manchester United,rasmus højlund,1,2024,89,11055,F S,32,2032,4,5.865164168179035,4,5.865164168179035,0,2.1415039356797934,32,16,2,0,8.606904566287994,2.4272238351404667,8.0,0.0,73.66666666666667,24.555555555555557,0.661116786301136,0.661116786301136,0.24576008457102275,0.0,0.4072398190045249,0.08144796380090497,0.48868778280542985,0.3803165109651121,0.07246670388190994,10,0,3,0,0,1,0
806,ENG-Premier League,2223,Leeds,rasmus kristensen,1,2022,245,10750,D M S,26,1964,3,0.789253355935216,3,0.789253355935216,1,1.2889635181054473,13,8,4,0,4.219320389442146,3.0240348298102617,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0
530,ENG-Premier League,2122,Wolverhampton Wanderers,rayan ait nouri,1,2021,229,6674,D S,23,1820,1,0.5460651963949203,1,0.5460651963949203,2,1.6456159921362996,13,17,4,0,4.461308920755982,3.4812748907133937,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
1086,ENG-Premier League,2223,Wolverhampton Wanderers,rayan ait nouri,1,2022,229,6674,D S,21,1056,1,1.129896778613329,1,1.129896778613329,0,0.7609243048354983,10,7,4,0,3.1984555199742317,2.0771548449993134,10.0,0.0,79.1304347826087,20.22222222222222,0.45393480360507965,0.45393480360507965,0.04200501510730156,0.0,0.049450549450549455,0.09890109890109891,0.14835164835164838,0.027003223997551007,0.08137661499575108,1,0,1,1,0,0,0
1655,ENG-Premier League,2324,Wolverhampton Wanderers,rayan ait nouri,1,2023,229,6674,D M S,33,2391,2,3.2441271310672164,2,3.2441271310672164,1,2.3514519911259413,23,25,7,0,10.710126422345638,6.927929415367544,13.0,0.0,50.285714285714285,11.733333333333333,-0.12989677861332893,-0.12989677861332893,0.11298967786133289,0.0,0.08522727272727273,0.0,0.08522727272727273,0.09629802090454509,0.06485150325302542,1,1,2,0,1,0,0
2215,ENG-Premier League,2425,Wolverhampton Wanderers,rayan ait nouri,1,2024,229,6674,D M,37,3180,4,3.612480252981186,4,3.612480252981186,7,5.460978699848056,36,46,6,0,13.966621531173587,7.902021802961826,15.0,0.0,72.45454545454545,26.566666666666666,-1.2441271310672164,-1.2441271310672164,0.14104900569857462,0.0,0.07528230865746549,0.037641154328732745,0.11292346298619824,0.1221126900025301,0.08851136729457747,2,1,2,0,1,0,0
2507,ENG-Premier League,2526,Manchester City,rayan ait nouri,1,2025,88,6674,D S,4,203,0,0.057533614337444305,0,0.057533614337444305,0,0.1667600143700838,2,2,1,0,2.40728223323822,2.3497486114501953,13.0,1.0,85.94594594594595,35.333333333333336,0.3875197470188141,0.3875197470188141,0.10034667369392183,0.0,0.11320754716981131,0.1981132075471698,0.3113207547169811,0.10224000715984488,0.1545560009390959,4,2,1,1,0,0,0
531,ENG-Premier League,2122,Wolverhampton Wanderers,raúl jiménez,1,2021,229,4105,F M S,34,2651,6,7.0713795982301235,5,6.310211572796106,4,3.394018276594579,57,38,5,2,12.290305624715984,4.058563692960888,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,1,0
