,league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,previous_season_position,is_in_europe,lagged_mpm_1,lagged_fmp_1,lagged_xg_perf_1,lagged_npxg_perf_1,lagged_xg_per_shot_1,lagged_penalty_taker_1,lagged_g90_1,lagged_a90_1,lagged_ga90_1,lagged_xg90_1,lagged_xa90_1,lagged_goals_1,lagged_mpm_2,lagged_fmp_2,lagged_xg_perf_2,lagged_npxg_perf_2,lagged_xg_per_shot_2,lagged_penalty_taker_2,lagged_g90_2,lagged_a90_2,lagged_ga90_2,lagged_xg90_2,lagged_xa90_2,lagged_goals_2,main_pos,position_1,position_2,position_3,position_4
923,ENG-Premier League,2021,Southampton,kayne ramsay,1,2020,74,7326,D,1,90,0.0,0.0,0,0.0,0,0.0,0,0,1,0,0.016576699912548065,0.016576699912548065,11.0,0.0,86.58035714285714,12.991666666666667,-0.602175930282101,-0.602175930282101,0.04516520102818807,0.0,0.0,0.0,0.0,0.015673902275939955,0.00602434690439219,0.0,86.58035714285714,12.991666666666667,-0.602175930282101,-0.602175930282101,0.04516520102818807,0.0,0.0,0.0,0.0,0.015673902275939955,0.00602434690439219,0.0,1,1,0,0,0
900,ENG-Premier League,2021,Sheffield United,kean bryan,1,2020,238,9163,D S,13,1012,1.0,0.5354915875941515,1,0.5354915875941515,0,0.8194746151566505,3,4,1,0,1.4283711146563292,1.3857593219727278,9.0,0.0,60.82608695652174,7.688888888888889,-0.4019469805061817,-0.4019469805061817,0.03817203175276518,0.0,0.0,0.0,0.0,0.013580875344693738,0.00972160545725672,0.0,60.82608695652174,7.688888888888889,-0.4019469805061817,-0.4019469805061817,0.03817203175276518,0.0,0.0,0.0,0.0,0.013580875344693738,0.00972160545725672,0.0,1,1,0,0,0
1669,ENG-Premier League,2223,Brentford,keane lewis-potter,1,2022,244,10809,F S,10,307,0.0,0.6775096822530031,0,0.6775096822530031,1,1.429301805794239,7,5,0,0,1.1727796997874975,0.04870099946856499,13.0,0.0,31.547101449275363,5.322222222222222,-1.946717722574249,-1.9903427558019757,0.12559686676284315,0.0,0.14972776769509982,0.0,0.25618413799648265,0.30273811437442255,0.06593100895651857,1.0,31.547101449275363,5.322222222222222,-1.946717722574249,-1.9903427558019757,0.12559686676284315,0.0,0.14972776769509982,0.0,0.25618413799648265,0.30273811437442255,0.06593100895651857,1.0,3,0,0,1,0
2224,ENG-Premier League,2324,Brentford,keane lewis-potter,1,2023,244,10809,D F S,30,1432,3.0,8.581757307052612,3,8.581757307052612,1,1.6146608591079712,43,13,0,0,9.344955435022712,1.25881989300251,9.0,0.0,30.7,3.411111111111111,-0.6775096822530031,-0.6775096822530031,0.09678709746471473,0.0,0.0,0.2931596091205212,0.2931596091205212,0.1986184736246589,0.4190135587018942,0.0,51.29264705882353,17.78611111111111,-4.690596727654338,-4.690596727654338,0.12792277376599903,0.0,0.0791729417504302,0.13256639215384738,0.2846556967596705,0.2314955715635476,0.14683689564317703,1.5,3,0,0,1,0
2791,ENG-Premier League,2425,Brentford,keane lewis-potter,1,2024,244,10809,D M S,38,3131,1.0,3.2576067624613643,1,3.2576067624613643,3,3.338346378877759,28,26,7,0,9.596967240795493,5.59095348790288,16.0,0.0,47.733333333333334,15.911111111111111,-5.581757307052612,-5.581757307052612,0.19957575132680494,0.0,0.18854748603351956,0.06284916201117319,0.25139664804469275,0.5393562553315189,0.10148008192717696,3.0,30.7,3.411111111111111,-0.6775096822530031,-0.6775096822530031,0.09678709746471473,0.0,0.0,0.2931596091205212,0.2931596091205212,0.1986184736246589,0.4190135587018942,0.0,2,0,1,0,0
3339,ENG-Premier League,2526,Brentford,keane lewis-potter,1,2025,244,10809,D M S,9,442,0.0,0.10487130284309387,0,0.10487130284309387,1,0.7483209520578384,3,5,1,0,0.9750548750162125,0.20877079665660858,10.0,0.0,82.39473684210526,34.78888888888889,-2.2576067624613643,-2.2576067624613643,0.11634309865933444,0.0,0.028744809964867453,0.08623442989460235,0.11497923985946981,0.09363928732721902,0.09596013225774458,1.0,47.733333333333334,15.911111111111111,-5.581757307052612,-5.581757307052612,0.19957575132680494,0.0,0.18854748603351956,0.06284916201117319,0.25139664804469275,0.5393562553315189,0.10148008192717696,3.0,2,0,1,0,0
46,ENG-Premier League,1920,Aston Villa,keinan davis,1,2019,71,1053,F S,18,514,0.0,1.985923521220684,0,1.985923521220684,0,0.18036619946360588,17,6,0,0,2.6382866194471717,1.3067813031375408,21.0,0.0,31.547101449275363,5.322222222222222,-1.946717722574249,-1.9903427558019757,0.12559686676284315,0.0,0.14972776769509982,0.0,0.25618413799648265,0.30273811437442255,0.06593100895651857,1.0,31.547101449275363,5.322222222222222,-1.946717722574249,-1.9903427558019757,0.12559686676284315,0.0,0.14972776769509982,0.0,0.25618413799648265,0.30273811437442255,0.06593100895651857,1.0,3,0,0,1,0
556,ENG-Premier League,2021,Aston Villa,keinan davis,1,2020,71,1053,F S,15,240,1.0,1.268774088472128,1,1.268774088472128,1,0.6846188846975565,9,6,0,0,1.9646081924438477,0.3350831884890795,17.0,0.0,28.555555555555557,5.711111111111111,-1.985923521220684,-1.985923521220684,0.11681903066004024,0.0,0.0,0.0,0.0,0.34772979943552834,0.031581630256273405,0.0,31.547101449275363,5.322222222222222,-1.946717722574249,-1.9903427558019757,0.12559686676284315,0.0,0.14972776769509982,0.0,0.25618413799648265,0.30273811437442255,0.06593100895651857,1.0,3,0,0,1,0
1081,ENG-Premier League,2122,Aston Villa,keinan davis,1,2021,71,1053,S,1,10,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.02824229933321476,0.02824229933321476,11.0,0.0,16.0,2.6666666666666665,-0.2687740884721279,-0.2687740884721279,0.14097489871912533,0.0,0.375,0.375,0.75,0.47579028317704797,0.2567320817615837,1.0,28.555555555555557,5.711111111111111,-1.985923521220684,-1.985923521220684,0.11681903066004024,0.0,0.0,0.0,0.0,0.34772979943552834,0.031581630256273405,0.0,4,0,0,0,1
218,ENG-Premier League,1920,Leicester,kelechi iheanacho,1,2019,75,620,F M S,20,976,5.0,5.901271965354681,5,5.901271965354681,3,2.5886508151888847,36,15,1,0,8.980083491653204,1.3327803052961826,9.0,0.0,49.21375,12.6,-1.3762204456143081,-1.3818805101327598,0.0891157174293134,0.0,0.13249098999466558,0.056393386593754,0.2598109959660592,0.16167210905566315,0.10022585590751756,2.0,49.21375,12.6,-1.3762204456143081,-1.3818805101327598,0.0891157174293134,0.0,0.13249098999466558,0.056393386593754,0.2598109959660592,0.16167210905566315,0.10022585590751756,2.0,3,0,0,1,0
