Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;SCA;SCA90;PassLive;PassDead;TO;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;TO;Sh;Fld;Def
1;Brenden Aaronson;us USA;FW,MF;Leeds United;25;2000;8.8;1;17;6;35.3;1.93;0.68;0.06;0.17;15;0;0;0;2;2;0.12;-1;-1;28;3.19;15;0;4;5;3;1;4;0.46;2;0;0;2;0;0
2;Joshua Acheampong;eng ENG;DF;Chelsea;19;2006;3.9;1;3;2;66.7;0.77;0.52;0.33;0.5;8.1;0;0;0;0.6;0.6;0.2;0.4;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Tyler Adams;us USA;MF;Bournemouth;26;1999;13.2;2;8;6;75;0.6;0.45;0.25;0.33;23.5;0;0;0;0.5;0.5;0.06;1.5;1.5;13;0.98;12;0;0;0;0;1;3;0.23;2;0;0;0;0;1
4;Tosin Adarabioyo;eng ENG;DF;Chelsea;28;1997;6.2;0;2;0;0;0.32;0;0;;5.1;0;0;0;0.1;0.1;0.05;-0.1;-0.1;3;0.48;2;0;0;1;0;0;0;0;0;0;0;0;0;0
5;Simon Adingra;ci CIV;FW,MF;Sunderland;23;2002;3.3;0;1;0;0;0.3;0;0;;14;0;0;0;0.1;0.1;0.14;-0.1;-0.1;8;2.39;7;0;1;0;0;0;1;0.3;1;0;0;0;0;0
6;Amine Adli;ma MAR;FW,MF;Bournemouth;25;2000;4.2;1;7;4;57.1;1.68;0.96;0.14;0.25;16.7;1;0;0;0.9;0.9;0.13;0.1;0.1;14;3.36;10;0;1;1;1;1;0;0;0;0;0;0;0;0
7;Emmanuel Agbadou;ci CIV;DF;Wolves;28;1997;9.2;0;8;2;25;0.87;0.22;0;0;19.5;1;0;0;0.5;0.5;0.06;-0.5;-0.5;9;0.97;9;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Nayef Aguerd;ma MAR;DF;West Ham;29;1996;2;0;2;0;0;1;0;0;;9.9;0;0;0;0.1;0.1;0.05;-0.1;-0.1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Ola Aina;ng NGA;DF;Nott'ham Forest;29;1996;3;0;2;0;0;0.67;0;0;;24.6;0;0;0;0;0;0.02;0;0;1;0.33;1;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Rayan A?t-Nouri;dz ALG;DF;Manchester City;24;2001;2.3;0;2;0;0;0.89;0;0;;24.9;0;0;0;0;0;0.02;0;0;4;1.77;4;0;0;0;0;0;1;0.44;1;0;0;0;0;0
11;Kristoffer Ajer;no NOR;DF;Brentford;27;1998;6.2;0;7;2;28.6;1.13;0.32;0;0;15.6;0;0;0;0.5;0.5;0.07;-0.5;-0.5;5;0.81;4;0;0;0;0;1;1;0.16;1;0;0;0;0;0
12;Nathan Aké;nl NED;DF;Manchester City;30;1995;2.3;0;3;0;0;1.31;0;0;;10.3;0;0;0;0.3;0.3;0.09;-0.3;-0.3;3;1.31;3;0;0;0;0;0;0;0;0;0;0;0;0;0
13;Carlos Alcaraz;ar ARG;MF,FW;Everton;23;2002;4.2;0;9;2;22.2;2.17;0.48;0;0;17.5;0;0;0;0.6;0.6;0.07;-0.6;-0.6;11;2.65;7;0;2;1;1;0;1;0.24;1;0;0;0;0;0
14;Omar Alderete;py PAR;DF;Sunderland;29;1996;9.4;1;9;4;44.4;0.96;0.42;0.11;0.25;14.8;0;0;0;0.7;0.7;0.08;0.3;0.3;7;0.74;6;0;0;0;1;0;1;0.11;1;0;0;0;0;0
15;Alisson;br BRA;GK;Liverpool;33;1992;9;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;1;0.11;1;0;0;0;0;0;1;0.11;1;0;0;0;0;0
16;Ethan Ampadu;wls WAL;MF;Leeds United;25;2000;11.7;0;6;0;0;0.51;0;0;;25.1;0;0;0;0.6;0.6;0.1;-0.6;-0.6;23;1.96;17;3;1;1;0;1;1;0.09;1;0;0;0;0;0
17;Joachim Andersen;dk DEN;DF;Fulham;29;1996;12.5;0;6;0;0;0.48;0;0;;12.6;0;0;0;0.5;0.5;0.09;-0.5;-0.5;13;1.04;10;1;0;2;0;0;0;0;0;0;0;0;0;0
18;Elliot Anderson;eng ENG;MF;Nott'ham Forest;23;2002;14;1;15;3;20;1.07;0.21;0;0;21.6;1;1;1;1.7;0.9;0.06;-0.7;-0.9;59;4.21;39;12;2;3;2;1;4;0.29;4;0;0;0;0;0
19;André;br BRA;MF;Wolves;24;2001;10.8;0;2;0;0;0.18;0;0;;33.1;0;0;0;0;0;0.02;0;0;13;1.2;5;4;1;0;3;0;0;0;0;0;0;0;0;0
20;Jaidon Anthony;eng ENG;MF,FW;Burnley;26;1999;11.4;4;17;9;52.9;1.49;0.79;0.24;0.44;14.7;0;0;0;2.4;2.4;0.14;1.6;1.6;26;2.27;20;1;3;0;2;0;4;0.35;2;0;1;0;1;0
21;Alphonse Areola;fr FRA;GK;West Ham;32;1993;10;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;2;0.2;1;1;0;0;0;0;1;0.1;0;1;0;0;0;0
22;Jhon Arias;co COL;FW;Wolves;28;1997;8.1;0;14;2;14.3;1.73;0.25;0;0;15.2;3;0;0;2.7;2.7;0.19;-2.7;-2.7;21;2.59;12;4;2;1;0;2;0;0;0;0;0;0;0;0
23;Harrison Armstrong;eng ENG;FW;Everton;18;2007;0;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;Tolu Arokodare;ng NGA;FW;Wolves;25;2000;3.2;0;9;1;11.1;2.8;0.31;0;0;16.5;1;0;0;0.5;0.5;0.05;-0.5;-0.5;4;1.24;3;0;0;1;0;0;1;0.31;1;0;0;0;0;0
25;Taiwo Awoniyi;ng NGA;FW;Nott'ham Forest;28;1997;1.5;0;3;2;66.7;2;1.33;0;0;15.1;0;0;0;0.2;0.2;0.06;-0.2;-0.2;1;0.67;1;0;0;0;0;0;0;0;0;0;0;0;0;0
26;Yasin Ayari;se SWE;MF;Brighton;22;2003;11.7;1;22;6;27.3;1.88;0.51;0.05;0.17;23.2;1;0;0;1.1;1.1;0.05;-0.1;-0.1;22;1.88;14;4;1;2;1;0;1;0.09;1;0;0;0;0;0
27;Benoît Badiashile;fr FRA;DF;Chelsea;24;2001;1.7;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;2;1.15;2;0;0;0;0;0;1;0.58;1;0;0;0;0;0
28;Dilane Bakwa;fr FRA;FW,MF;Nott'ham Forest;23;2002;1.9;0;3;3;100;1.55;1.55;0;0;22.2;0;0;0;0.1;0.1;0.05;-0.1;-0.1;7;3.62;6;1;0;0;0;0;0;0;0;0;0;0;0;0
29;Carlos Baleba;cm CMR;MF;Brighton;21;2004;8.6;0;9;0;0;1.05;0;0;;29.2;0;0;0;0.2;0.2;0.02;-0.2;-0.2;8;0.93;7;0;0;0;1;0;0;0;0;0;0;0;0;0
30;Daniel Ballard;nir NIR;DF;Sunderland;26;1999;9.5;2;13;5;38.5;1.37;0.53;0.15;0.4;8.3;0;0;0;1.1;1.1;0.08;0.9;0.9;10;1.06;8;0;0;0;0;2;0;0;0;0;0;0;0;0
31;Ross Barkley;eng ENG;MF;Aston Villa;32;1993;1.3;1;4;2;50;2.98;1.49;0.25;0.5;13;0;0;0;0.4;0.4;0.1;0.6;0.6;4;2.98;3;0;0;0;1;0;1;0.74;0;0;0;0;1;0
32;Ashley Barnes;eng ENG;FW;Burnley;36;1989;0.1;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;Harvey Barnes;eng ENG;FW;Newcastle Utd;28;1997;7.7;3;20;8;40;2.61;1.04;0.15;0.38;17.3;0;0;0;3.3;3.3;0.16;-0.3;-0.3;22;2.87;18;0;3;1;0;0;3;0.39;2;0;1;0;0;0
34;Thierno Barry;fr FRA;FW;Everton;23;2002;7;0;15;1;6.7;2.14;0.14;0;0;9.2;0;0;0;2.4;2.4;0.16;-2.4;-2.4;7;1;6;0;1;0;0;0;0;0;0;0;0;0;0;0
35;Calvin Bassey;ng NGA;DF;Fulham;26;1999;13.1;0;2;0;0;0.15;0;0;;17.2;0;0;0;0.2;0.2;0.08;-0.2;-0.2;14;1.07;14;0;0;0;0;0;0;0;0;0;0;0;0;0
36;Altay Bay?nd?r;tr TUR;GK;Manchester Utd;27;1998;6;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;3;0.5;3;0;0;0;0;0;0;0;0;0;0;0;0;0
37;Jean-Ricner Bellegarde;ht HAI;MF,FW;Wolves;27;1998;7.1;0;13;3;23.1;1.84;0.42;0;0;23.9;1;0;0;0.4;0.4;0.03;-0.4;-0.4;13;1.84;8;2;0;1;2;0;1;0.14;1;0;0;0;0;0
38;Rodrigo Bentancur;uy URU;MF;Tottenham;28;1997;9.4;1;6;1;16.7;0.64;0.11;0.17;1;17.2;0;0;0;0.3;0.3;0.06;0.7;0.7;15;1.6;14;0;1;0;0;0;2;0.21;2;0;0;0;0;0
39;Sander Berge;no NOR;MF;Fulham;27;1998;13.6;0;4;2;50;0.29;0.15;0;0;17.3;0;0;0;0.6;0.6;0.15;-0.6;-0.6;27;1.98;25;0;0;2;0;0;2;0.15;1;0;0;1;0;0
40;Lucas Bergvall;se SWE;MF;Tottenham;19;2006;6.3;1;8;3;37.5;1.27;0.48;0.13;0.33;11.1;0;0;0;0.8;0.8;0.1;0.2;0.2;11;1.75;6;3;1;1;0;0;2;0.32;2;0;0;0;0;0
41;Beto;gw GNB;FW;Everton;27;1998;7;1;14;4;28.6;1.99;0.57;0.07;0.25;8.2;0;0;0;4.1;4.1;0.29;-3.1;-3.1;11;1.56;6;0;0;4;1;0;2;0.28;1;0;0;1;0;0
42;Jaka Bijol;si SVN;DF;Leeds United;26;1999;4.4;1;2;1;50;0.45;0.23;0.5;1;7.5;0;0;0;0.2;0.2;0.1;0.8;0.8;1;0.23;0;1;0;0;0;0;0;0;0;0;0;0;0;0
43;Marco Bizot;nl NED;GK;Aston Villa;34;1991;3;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;1;0.33;1;0;0;0;0;0;1;0.33;1;0;0;0;0;0
44;Oscar Bobb;no NOR;MF,FW;Manchester City;22;2003;5.2;0;4;0;0;0.77;0;0;;14.7;0;0;0;0.4;0.4;0.1;-0.4;-0.4;22;4.23;16;0;5;0;1;0;3;0.58;2;0;1;0;0;0
45;Lamare Bogarde;nl NED;MF;Aston Villa;21;2004;3.4;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;5;1.45;5;0;0;0;0;0;1;0.29;1;0;0;0;0;0
46;Jayden Bogle;eng ENG;DF;Leeds United;25;2000;13.6;0;8;2;25;0.59;0.15;0;0;18.7;0;0;0;0.7;0.7;0.09;-0.7;-0.7;18;1.32;14;0;1;0;2;1;1;0.07;1;0;0;0;0;0
47;Sebastiaan Bornauw;be BEL;DF;Leeds United;26;1999;0;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;Olivier Boscagli;fr FRA;DF;Brighton;28;1997;0.5;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
49;Sven Botman;nl NED;DF;Newcastle Utd;25;2000;7.3;0;2;1;50;0.27;0.14;0;0;9;0;0;0;0.1;0.1;0.07;-0.1;-0.1;3;0.41;2;1;0;0;0;0;0;0;0;0;0;0;0;0
50;Jarrod Bowen;eng ENG;FW,MF;West Ham;29;1996;14;3;35;13;37.1;2.5;0.93;0.09;0.23;17.3;1;0;0;2;2;0.06;1;1;43;3.07;25;0;6;9;2;1;3;0.21;2;0;0;1;0;0
51;Conor Bradley;nir NIR;DF;Liverpool;22;2003;5.9;0;3;0;0;0.51;0;0;;20;0;0;0;0.1;0.1;0.03;-0.1;-0.1;3;0.51;3;0;0;0;0;0;0;0;0;0;0;0;0;0
52;Brian Brobbey;nl NED;FW;Sunderland;23;2002;2.5;2;3;3;100;1.18;1.18;0.67;0.67;9.1;0;0;0;0.4;0.4;0.12;1.6;1.6;1;0.39;1;0;0;0;0;0;1;0.39;1;0;0;0;0;0
53;Armando Broja;al ALB;FW;Burnley;24;2001;1.3;0;2;1;50;1.51;0.76;0;0;10.7;0;0;0;0.3;0.3;0.13;-0.3;-0.3;2;1.51;1;0;0;0;1;0;0;0;0;0;0;0;0;0
54;David Brooks;wls WAL;FW,MF;Bournemouth;28;1997;7;0;20;5;25;2.85;0.71;0;0;17.9;2;0;0;1.4;1.4;0.07;-1.4;-1.4;23;3.28;14;2;4;2;1;0;2;0.28;1;1;0;0;0;0
