Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;SCA;SCA90;PassLive;PassDead;TO;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;TO;Sh;Fld;Def
31;Stuart Armstrong;sct SCO;MF,FW;Southampton;30;1992;15.6;2;23;6;26.1;1.47;0.38;0.09;0.33;17.9;0;0;0;2.4;2.4;0.1;-0.4;-0.4;50;3.2;39;1;0;6;4;0;2;0.13;1;0;0;0;1;0
32;Kepa Arrizabalaga;es ESP;GK;Chelsea;27;1994;28.5;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;1;0.04;1;0;0;0;0;0;0;0;0;0;0;0;0;0
33;Pierre-Emerick Aubameyang;ga GAB;FW;Chelsea;33;1989;6.2;1;16;7;43.8;2.6;1.14;0.06;0.14;13.7;0;0;0;1.5;1.5;0.09;-0.5;-0.5;8;1.3;6;0;0;2;0;0;0;0;0;0;0;0;0;0
34;Ludwig Augustinsson;se SWE;DF;Aston Villa;28;1994;0.9;0;2;1;50;2.34;1.17;0;0;12.7;0;0;0;0.1;0.1;0.04;-0.1;-0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;Serge Aurier;ci CIV;DF;Nott'ham Forest;29;1992;21.6;1;9;3;33.3;0.42;0.14;0.11;0.33;16.2;0;0;0;0.8;0.8;0.09;0.2;0.2;26;1.2;21;2;0;0;2;1;1;0.05;0;1;0;0;0;0
36;Taiwo Awoniyi;ng NGA;FW;Nott'ham Forest;24;1997;15.6;10;35;15;42.9;2.24;0.96;0.29;0.67;11.8;0;0;0;6.6;6.6;0.19;3.4;3.4;25;1.6;18;0;2;2;2;1;4;0.26;2;0;1;1;0;0
37;Yasin Ayari;se SWE;MF;Brighton;18;2003;0.7;0;1;0;0;1.34;0;0;;29.7;0;0;0;0;0;0.02;0;0;4;5.37;3;0;0;0;1;0;0;0;0;0;0;0;0;0
38;André Ayew;gh GHA;FW,MF;Nott'ham Forest;32;1989;3.5;0;3;1;33.3;0.85;0.28;0;0;19.3;0;0;1;1;0.3;0.09;-1;-0.3;3;0.86;2;1;0;0;0;0;0;0;0;0;0;0;0;0
39;Jordan Ayew;gh GHA;FW,MF;Crystal Palace;30;1991;30.2;4;32;10;31.3;1.06;0.33;0.13;0.4;16.1;0;0;0;3.2;3.2;0.1;0.8;0.8;78;2.59;53;0;9;6;7;3;8;0.27;5;0;1;1;1;0
40;Luke Ayling;eng ENG;DF;Leeds United;30;1991;22.8;2;24;5;20.8;1.05;0.22;0.08;0.4;15.1;0;0;0;3.2;3.2;0.13;-1.2;-1.2;40;1.75;33;0;0;3;2;2;1;0.04;1;0;0;0;0;0
41;César Azpilicueta;es ESP;DF;Chelsea;32;1989;17;0;9;1;11.1;0.53;0.06;0;0;18.2;0;0;0;0.4;0.4;0.05;-0.4;-0.4;25;1.47;25;0;0;0;0;0;1;0.06;1;0;0;0;0;0
42;Benoît Badiashile;fr FRA;DF;Chelsea;21;2001;10.1;1;6;2;33.3;0.6;0.2;0.17;0.5;7.2;0;0;0;1.2;1.2;0.2;-0.2;-0.2;12;1.19;11;0;0;0;0;1;0;0;0;0;0;0;0;0
43;Leon Bailey;jm JAM;FW,MF;Aston Villa;24;1997;21.9;4;51;14;27.5;2.33;0.64;0.08;0.29;18.1;3;0;0;5.3;5.3;0.1;-1.3;-1.3;62;2.84;40;2;10;7;3;0;8;0.37;5;0;0;3;0;0
44;Stefan Bajcetic;es ESP;MF;Liverpool;17;2004;5.8;1;6;3;50;1.03;0.51;0.17;0.33;24.5;0;0;0;0.8;0.8;0.13;0.2;0.2;13;2.22;8;1;2;0;2;0;1;0.17;0;0;1;0;0;0
45;Dominic Ballard;eng ENG;FW,MF;Southampton;17;2005;0.3;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;Patrick Bamford;eng ENG;FW;Leeds United;28;1993;16.8;4;48;16;33.3;2.85;0.95;0.08;0.25;14.7;1;0;2;8.5;6.9;0.15;-4.5;-2.9;27;1.6;17;0;1;5;3;1;6;0.36;4;0;1;1;0;0
47;Shandon Baptiste;gd GRN;MF;Brentford;24;1998;6.9;0;4;1;25;0.58;0.15;0;0;15.9;0;0;0;0.4;0.4;0.09;-0.4;-0.4;18;2.63;11;1;2;2;2;0;4;0.58;3;0;0;0;1;0
48;Harvey Barnes;eng ENG;FW,MF;Leicester City;24;1997;30.1;13;72;34;47.2;2.39;1.13;0.18;0.38;15.9;0;0;0;8.9;8.9;0.12;4.1;4.1;63;2.09;43;0;3;9;7;1;14;0.46;8;0;1;2;2;1
49;Gavin Bazunu;ie IRL;GK;Southampton;20;2002;32;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;7;0.22;5;2;0;0;0;0;0;0;0;0;0;0;0;0
50;Mads Bech S?rensen;dk DEN;DF,MF;Brentford;23;1999;0.2;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;1;4.29;1;0;0;0;0;0;0;0;0;0;0;0;0;0
51;Jan Bednarek;pl POL;DF;Southampton;26;1996;18.6;0;8;0;0;0.43;0;0;;14.2;0;0;0;0.4;0.4;0.05;-0.4;-0.4;7;0.38;5;1;0;1;0;0;0;0;0;0;0;0;0;0
52;Jan Bednarek;pl POL;DF;Aston Villa;26;1996;1.1;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;Donny van de Beek;nl NED;MF;Manchester Utd;25;1997;1.9;0;2;0;0;1.08;0;0;;10.1;0;0;0;0.1;0.1;0.05;-0.1;-0.1;6;3.23;6;0;0;0;0;0;0;0;0;0;0;0;0;0
54;Asmir Begoviæ;ba BIH;GK;Everton;35;1987;1;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;Armel Bella Kotchap;de GER;DF;Southampton;20;2001;20.9;0;14;2;14.3;0.67;0.1;0;0;16.1;0;0;0;1;1;0.07;-1;-1;14;0.67;7;0;1;3;2;1;2;0.1;1;0;0;1;0;0
56;Sa?d Benrahma;dz ALG;FW,MF;West Ham;26;1995;23;6;69;23;33.3;3;1;0.03;0.09;21.9;5;4;4;7;3.9;0.06;-1;-1.9;92;4;68;2;11;8;3;0;5;0.22;4;0;1;0;0;0
57;Rodrigo Bentancur;uy URU;MF;Tottenham;25;1997;16.7;5;15;9;60;0.9;0.54;0.33;0.56;15.8;0;0;0;2.2;2.2;0.15;2.8;2.8;34;2.04;27;0;1;2;1;3;5;0.3;2;0;0;1;0;2
58;Daniel Bentley;eng ENG;GK;Wolves;29;1993;2;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;Victor Bernth Kristiansen;dk DEN;DF;Leicester City;19;2002;9.9;0;3;0;0;0.3;0;0;;18.9;0;0;0;0.1;0.1;0.04;-0.1;-0.1;14;1.41;9;4;0;1;0;0;3;0.3;3;0;0;0;0;0
60;Owen Bevan;wls WAL;DF;Bournemouth;18;2003;0.1;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;Giulian Biancone;fr FRA;DF;Nott'ham Forest;22;2000;0.2;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;1;5.29;1;0;0;0;0;0;0;0;0;0;0;0;0;0
62;Philip Billing;dk DEN;MF,FW;Bournemouth;26;1996;30.7;7;38;18;47.4;1.24;0.59;0.18;0.39;18.3;5;0;0;4.9;4.9;0.13;2.1;2.1;54;1.76;41;2;5;5;1;0;6;0.2;4;0;0;2;0;0
63;Yves Bissouma;ml MLI;MF;Tottenham;25;1996;11.2;0;6;0;0;0.53;0;0;;26.7;0;0;0;0.2;0.2;0.03;-0.2;-0.2;29;2.58;24;0;1;1;1;2;1;0.09;1;0;0;0;0;0
64;Willy Boly;ci CIV;DF;Nott'ham Forest;31;1991;7.6;0;2;1;50;0.26;0.13;0;0;16.7;0;0;0;0;0;0.02;0;0;5;0.66;5;0;0;0;0;0;1;0.13;1;0;0;0;0;0
65;Sven Botman;nl NED;DF;Newcastle Utd;22;2000;34.7;0;22;7;31.8;0.63;0.2;0;0;10.2;0;0;0;2.5;2.5;0.11;-2.5;-2.5;24;0.69;18;1;0;5;0;0;1;0.03;0;0;0;1;0;0
66;Jarrod Bowen;eng ENG;FW,MF;West Ham;25;1996;35.9;6;73;21;28.8;2.03;0.58;0.07;0.24;16.2;1;1;2;8.9;7.8;0.11;-2.9;-2.8;108;3.01;58;15;10;13;10;2;14;0.39;6;3;0;2;3;0
67;James Bree;eng ENG;DF;Southampton;24;1997;4.1;0;1;1;100;0.25;0.25;0;0;25.3;0;0;0;0;0;0.03;0;0;6;1.47;6;0;0;0;0;0;0;0;0;0;0;0;0;0
68;Armando Broja;al ALB;FW;Chelsea;20;2001;3.3;1;6;5;83.3;1.84;1.53;0.17;0.2;11;0;0;0;0.8;0.8;0.14;0.2;0.2;4;1.22;2;0;0;0;2;0;2;0.61;1;0;0;0;1;0
69;David Brooks;wls WAL;FW,MF;Bournemouth;25;1997;1.9;0;5;1;20;2.6;0.52;0;0;20.6;1;0;0;0.3;0.3;0.05;-0.3;-0.3;8;4.19;5;0;1;1;1;0;0;0;0;0;0;0;0;0
70;Lewis Brunt;eng ENG;DF;Leicester City;21;2000;0.3;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;Emi Buendía;ar ARG;MF,FW;Aston Villa;25;1996;26.8;5;49;11;22.4;1.83;0.41;0.1;0.45;15.9;2;0;0;6.3;6.3;0.13;-1.3;-1.3;90;3.36;72;2;8;3;4;1;10;0.37;7;0;1;2;0;0
72;Hugo Bueno;es ESP;DF;Wolves;19;2002;14.6;0;4;1;25;0.27;0.07;0;0;18.5;0;0;0;0.2;0.2;0.04;-0.2;-0.2;30;2.06;22;7;0;1;0;0;1;0.07;1;0;0;0;0;0
73;Facundo Buonanotte;ar ARG;FW,MF;Brighton;17;2004;6.3;1;11;3;27.3;1.75;0.48;0.09;0.33;16.9;0;0;0;1.4;1.4;0.13;-0.4;-0.4;14;2.23;12;0;2;0;0;0;1;0.16;1;0;0;0;0;0
74;Dan Burn;eng ENG;DF;Newcastle Utd;30;1992;34.6;1;21;4;19;0.61;0.12;0.05;0.25;12.2;0;0;0;2.1;2.1;0.1;-1.1;-1.1;40;1.16;35;2;0;3;0;0;3;0.09;3;0;0;0;0;0
75;Cafú;pt POR;MF;Nott'ham Forest;29;1993;0.1;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;Moisés Caicedo;ec ECU;MF;Brighton;20;2001;34.9;1;28;8;28.6;0.8;0.23;0.04;0.13;23.9;0;0;0;1.7;1.7;0.06;-0.7;-0.7;88;2.52;81;0;2;3;1;1;5;0.14;5;0;0;0;0;0
77;Tom Cairney;sct SCO;MF;Fulham;31;1991;11;2;21;2;9.5;1.91;0.18;0.1;1;18.6;0;0;0;1.5;1.5;0.07;0.5;0.5;45;4.1;35;4;1;2;2;1;3;0.27;3;0;0;0;0;0
78;Duje Æaleta-Car;hr CRO;DF;Southampton;25;1996;10.5;1;5;2;40;0.48;0.19;0.2;0.5;12.3;0;0;0;0.8;0.8;0.16;0.2;0.2;6;0.57;6;0;0;0;0;0;0;0;0;0;0;0;0;0
79;Dominic Calvert-Lewin;eng ENG;FW;Everton;25;1997;12.9;2;30;9;30;2.32;0.7;0.03;0.11;11.8;0;1;1;5.8;5;0.17;-3.8;-4;24;1.85;16;0;5;1;2;0;4;0.31;2;0;1;0;1;0
80;Chem Campbell;wls WAL;FW,MF;Wolves;19;2002;0.8;0;2;0;0;2.43;0;0;;11.3;0;0;0;0.1;0.1;0.05;-0.1;-0.1;2;2.43;1;0;1;0;0;0;0;0;0;0;0;0;0;0
81;Jo?o Cancelo;pt POR;DF;Manchester City;28;1994;14.2;2;17;3;17.6;1.2;0.21;0.12;0.67;22.7;0;0;0;0.8;0.8;0.05;1.2;1.2;39;2.76;30;0;2;5;1;1;6;0.42;5;0;1;0;0;0
82;Thomas Cannon;ie IRL;FW;Everton;19;2002;0.3;0;1;1;100;3.6;3.6;0;0;10.8;0;0;0;0.1;0.1;0.09;-0.1;-0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83;Sergi Canós;es ESP;FW,DF;Brentford;25;1997;0.9;0;1;0;0;1.17;0;0;;16.1;0;0;0;0.1;0.1;0.07;-0.1;-0.1;3;3.51;2;0;0;0;1;0;0;0;0;0;0;0;0;0
84;Diego Carlos;br BRA;DF;Aston Villa;29;1993;2.3;0;4;0;0;1.76;0;0;;15.7;0;0;0;0.4;0.4;0.09;-0.4;-0.4;3;1.32;2;0;0;1;0;0;0;0;0;0;0;0;0;0
85;Fabio Carvalho;pt POR;MF,FW;Liverpool;19;2002;3.9;2;11;4;36.4;2.85;1.04;0.18;0.5;11.5;0;0;0;1.1;1.1;0.1;0.9;0.9;9;2.33;5;0;0;2;2;0;2;0.52;1;0;0;1;0;0
86;Casemiro;br BRA;MF;Manchester Utd;30;1992;23.6;4;34;11;32.4;1.44;0.47;0.12;0.36;21.6;0;0;0;3.4;3.4;0.1;0.6;0.6;68;2.88;61;0;0;5;2;0;8;0.34;8;0;0;0;0;0
87;Matty Cash;pl POL;DF;Aston Villa;24;1997;20.2;0;7;1;14.3;0.35;0.05;0;0;26.9;0;0;0;0.2;0.2;0.03;-0.2;-0.2;28;1.38;25;0;1;0;1;1;3;0.15;2;0;0;0;0;1
88;Timothy Castagne;be BEL;DF;Leicester City;26;1995;36.2;2;19;5;26.3;0.53;0.14;0.11;0.4;11;0;0;0;2.2;2.2;0.12;-0.2;-0.2;51;1.41;44;2;1;2;1;1;5;0.14;4;0;0;1;0;0
89;Jonny Castro;es ESP;DF;Wolves;28;1994;14;1;9;2;22.2;0.64;0.14;0.11;0.5;24.1;0;0;0;0.3;0.3;0.03;0.7;0.7;24;1.71;20;0;0;0;3;1;1;0.07;1;0;0;0;0;0
90;Nathaniel Chalobah;eng ENG;MF;Fulham;27;1994;0.1;0;1;1;100;7.5;7.5;0;0;10.1;0;0;0;0.1;0.1;0.09;-0.1;-0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;Trevoh Chalobah;eng ENG;DF;Chelsea;23;1999;17.9;0;9;2;22.2;0.5;0.11;0;0;9.6;0;0;0;0.9;0.9;0.1;-0.9;-0.9;16;0.9;11;0;1;2;2;0;3;0.17;3;0;0;0;0;0
92;Calum Chambers;eng ENG;DF,MF;Aston Villa;27;1995;3.9;0;2;0;0;0.51;0;0;;21.6;0;0;0;0.1;0.1;0.06;-0.1;-0.1;6;1.53;5;0;0;0;0;1;0;0;0;0;0;0;0;0
93;Shea Charles;nir NIR;DF;Manchester City;18;2003;0.3;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;Ben Chilwell;eng ENG;DF,MF;Chelsea;25;1996;15.6;2;16;4;25;1.02;0.26;0.13;0.5;16.1;0;0;0;1.4;1.4;0.09;0.6;0.6;39;2.49;19;17;0;1;2;0;4;0.26;2;1;0;0;1;0
95;Ryan Christie;sct SCO;MF,FW;Bournemouth;27;1995;20.4;1;33;9;27.3;1.62;0.44;0.03;0.11;14;0;0;0;2.7;2.7;0.08;-1.7;-1.7;66;3.24;48;5;5;5;3;0;4;0.2;3;0;0;1;0;0
96;Carney Chukwuemeka;eng ENG;MF,FW;Chelsea;18;2003;3.9;0;5;1;20;1.27;0.25;0;0;17.2;0;0;0;0.4;0.4;0.08;-0.4;-0.4;16;4.07;13;0;0;1;0;2;0;0;0;0;0;0;0;0
97;Bobby Clark;eng ENG;MF;Liverpool;17;2005;0.1;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;Nathaniel Clyne;eng ENG;DF;Crystal Palace;31;1991;18.2;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;18;0.99;16;1;0;0;1;0;0;0;0;0;0;0;0;0
99;Conor Coady;eng ENG;DF;Everton;29;1993;23.3;1;4;2;50;0.17;0.09;0.25;0.5;8.5;0;0;0;0.8;0.8;0.21;0.2;0.2;16;0.69;14;0;0;1;1;0;1;0.04;1;0;0;0;0;0
100;Jack Colback;eng ENG;MF;Nott'ham Forest;32;1989;5.5;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;3;0.54;3;0;0;0;0;0;0;0;0;0;0;0;0;0
101;Séamus Coleman;ie IRL;DF;Everton;33;1988;18.4;1;7;2;28.6;0.38;0.11;0.14;0.5;21.9;0;0;0;0.4;0.4;0.05;0.6;0.6;21;1.14;15;1;1;1;3;0;2;0.11;2;0;0;0;0;0
102;Nathan Collins;ie IRL;DF;Wolves;21;2001;20.2;0;3;0;0;0.15;0;0;;9;0;0;0;0.2;0.2;0.08;-0.2;-0.2;10;0.5;7;0;1;0;2;0;0;0;0;0;0;0;0;0
103;Levi Colwill;eng ENG;DF;Brighton;19;2003;13.6;0;8;0;0;0.59;0;0;;7;0;0;0;1.4;1.4;0.18;-1.4;-1.4;18;1.33;16;1;0;1;0;0;2;0.15;2;0;0;0;0;0
104;Lewis Cook;eng ENG;MF;Bournemouth;25;1997;19.1;0;6;0;0;0.31;0;0;;28.7;2;0;0;0.2;0.2;0.04;-0.2;-0.2;39;2.04;27;8;0;0;1;3;4;0.21;2;1;0;0;0;1
105;Steve Cook;eng ENG;DF;Nott'ham Forest;31;1991;10.6;0;3;0;0;0.28;0;0;;14.2;0;0;0;0.1;0.1;0.05;-0.1;-0.1;6;0.56;6;0;0;0;0;0;0;0;0;0;0;0;0;0
106;Liam Cooper;sct SCO;DF;Leeds United;30;1991;15.8;1;10;2;20;0.63;0.13;0.1;0.5;9.5;0;0;0;1;1;0.11;0;0;16;1.01;13;1;0;2;0;0;3;0.19;3;0;0;0;0;0
107;Maxwel Cornet;ci CIV;FW;West Ham;25;1996;2.7;0;9;2;22.2;3.31;0.73;0;0;12.5;0;0;0;1.3;1.3;0.14;-1.3;-1.3;6;2.23;4;0;1;0;0;1;0;0;0;0;0;0;0;0
108;Diego Costa;es ESP;FW;Wolves;33;1988;13.8;1;28;14;50;2.03;1.02;0.04;0.07;12;0;0;0;3.2;3.2;0.11;-2.2;-2.2;23;1.67;15;0;3;3;2;0;1;0.07;1;0;0;0;0;0
109;Vladimír Coufal;cz CZE;DF;West Ham;29;1992;23.7;0;6;0;0;0.25;0;0;;25.7;0;0;0;0.3;0.3;0.04;-0.3;-0.3;52;2.19;36;13;0;1;2;0;3;0.13;2;1;0;0;0;0
110;Philippe Coutinho;br BRA;MF,FW;Aston Villa;30;1992;8.8;1;21;8;38.1;2.4;0.91;0.05;0.13;21.6;2;0;0;1.4;1.4;0.07;-0.4;-0.4;24;2.74;19;1;3;1;0;0;0;0;0;0;0;0;0;0
111;Conor Coventry;ie IRL;MF,FW;West Ham;22;2000;0;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;Matthew Craig;sct SCO;MF;Tottenham;19;2003;0.2;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113;Aaron Cresswell;eng ENG;DF;West Ham;32;1989;24.8;0;9;1;11.1;0.36;0.04;0;0;22.5;4;0;0;0.3;0.3;0.04;-0.3;-0.3;73;2.94;43;27;0;2;1;0;1;0.04;0;1;0;0;0;0
114;Marc Cucurella;es ESP;DF;Chelsea;24;1998;18.6;0;7;0;0;0.38;0;0;;19.7;0;0;0;0.4;0.4;0.06;-0.4;-0.4;27;1.46;21;6;0;0;0;0;3;0.16;2;1;0;0;0;0
115;Matheus Cunha;br BRA;FW;Wolves;23;1999;10.7;2;26;7;26.9;2.42;0.65;0.08;0.29;19.4;0;0;0;2;2;0.08;0;0;21;1.96;16;1;1;1;2;0;0;0;0;0;0;0;0;0
