Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;SCA;SCA90;PassLive;PassDead;TO;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;TO;Sh;Fld;Def
1;Brenden Aaronson;us USA;MF,FW;Leeds United;21;2000;26.4;1;41;9;22;1.56;0.34;0.02;0.11;18.4;2;0;0;3.9;3.9;0.09;-2.9;-2.9;95;3.6;57;17;7;5;8;1;7;0.27;3;1;0;1;1;1
2;George Abbott;eng ENG;MF;Tottenham;16;2005;0;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Che Adams;sct SCO;FW;Southampton;26;1996;22.1;5;47;14;29.8;2.12;0.63;0.11;0.36;13.8;0;0;0;6.7;6.7;0.14;-1.7;-1.7;57;2.57;44;1;2;5;5;0;7;0.32;5;0;0;0;2;0
4;Tyler Adams;us USA;MF;Leeds United;23;1999;24;0;4;0;0;0.17;0;0;;27.5;0;0;0;0.1;0.1;0.03;-0.1;-0.1;43;1.79;42;0;0;0;1;0;1;0.04;1;0;0;0;0;0
5;Tosin Adarabioyo;eng ENG;DF;Fulham;24;1997;23.2;1;16;4;25;0.69;0.17;0.06;0.25;21.2;1;0;0;0.7;0.7;0.04;0.3;0.3;18;0.78;15;0;0;3;0;0;0;0;0;0;0;0;0;0
6;Nayef Aguerd;ma MAR;DF;West Ham;26;1996;17.7;2;12;2;16.7;0.68;0.11;0.17;1;9.9;0;0;0;2.2;2.2;0.19;-0.2;-0.2;14;0.79;12;1;0;1;0;0;0;0;0;0;0;0;0;0
7;Naouirou Ahamada;fr FRA;MF,FW;Crystal Palace;20;2002;1;0;3;0;0;2.87;0;0;;15.9;0;0;0;0.2;0.2;0.05;-0.2;-0.2;2;1.91;1;0;0;1;0;0;0;0;0;0;0;0;0;0
8;Rayan A?t-Nouri;dz ALG;DF;Wolves;21;2001;12;1;10;5;50;0.84;0.42;0.1;0.2;14.1;0;0;0;0.7;0.7;0.07;0.3;0.3;23;1.93;14;2;4;1;2;0;0;0;0;0;0;0;0;0
9;Kristoffer Ajer;no NOR;DF;Brentford;24;1998;8.5;0;1;0;0;0.12;0;0;;6;0;0;0;0;0;0.04;0;0;4;0.47;4;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Manuel Akanji;ch SUI;DF;Manchester City;27;1995;25.4;0;15;2;13.3;0.59;0.08;0;0;15.9;0;0;0;1.3;1.3;0.09;-1.3;-1.3;23;0.91;22;0;0;1;0;0;0;0;0;0;0;0;0;0
11;Nathan Aké;nl NED;DF;Manchester City;27;1995;20.8;1;9;2;22.2;0.43;0.1;0.11;0.5;10.5;0;0;0;1.6;1.6;0.17;-0.6;-0.6;24;1.15;20;1;0;2;0;1;2;0.1;2;0;0;0;0;0
12;Marc Albrighton;eng ENG;FW,MF;Leicester City;32;1989;2.6;1;2;1;50;0.76;0.38;0.5;1;8;0;0;0;0.3;0.3;0.17;0.7;0.7;7;2.66;5;2;0;0;0;0;0;0;0;0;0;0;0;0
13;Thiago Alcántara;es ESP;MF;Liverpool;31;1991;13.9;0;10;1;10;0.72;0.07;0;0;24.1;0;0;0;0.4;0.4;0.04;-0.4;-0.4;40;2.87;33;0;3;1;1;2;2;0.14;2;0;0;0;0;0
14;Carlos Alcaraz;ar ARG;MF,FW;Southampton;19;2002;11.4;4;24;10;41.7;2.1;0.87;0.17;0.4;20;0;0;0;1.9;1.9;0.08;2.1;2.1;22;1.92;14;0;2;3;2;1;4;0.35;3;0;0;1;0;0
15;Trent Alexander-Arnold;eng ENG;DF;Liverpool;23;1998;32.5;2;40;8;20;1.23;0.25;0.05;0.25;23.8;5;0;0;2.4;2.4;0.06;-0.4;-0.4;124;3.82;81;34;3;5;1;0;17;0.52;14;2;1;0;0;0
16;Alisson;br BRA;GK;Liverpool;29;1992;37;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;3;0.08;3;0;0;0;0;0;2;0.05;2;0;0;0;0;0
17;Dele Alli;eng ENG;MF;Everton;26;1996;0.4;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;Miguel Almirón;py PAR;FW;Newcastle Utd;28;1994;27.7;11;69;20;29;2.49;0.72;0.16;0.55;16.4;0;0;0;8;8;0.12;3;3;87;3.14;63;2;10;9;3;0;13;0.47;5;1;5;2;0;0
19;Julián Álvarez;ar ARG;FW,MF;Manchester City;22;2000;16.3;9;46;20;43.5;2.83;1.23;0.17;0.4;16;0;1;1;7;6.2;0.13;2;1.8;52;3.2;39;0;6;5;2;0;5;0.31;2;0;1;1;1;0
20;Daniel Amartey;gh GHA;DF;Leicester City;27;1994;17.9;0;6;2;33.3;0.34;0.11;0;0;17.4;0;0;0;1.1;1.1;0.18;-1.1;-1.1;15;0.84;15;0;0;0;0;0;1;0.06;1;0;0;0;0;0
21;Samuel Amo-Ameyaw;eng ENG;MF;Southampton;16;2006;0;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;1;22.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0
22;Joachim Andersen;dk DEN;DF;Crystal Palace;26;1996;30.9;1;22;9;40.9;0.71;0.29;0.05;0.11;13.9;1;0;0;1.8;1.8;0.08;-0.8;-0.8;25;0.81;20;3;0;0;1;1;1;0.03;0;1;0;0;0;0
23;Elliot Anderson;eng ENG;MF,FW;Newcastle Utd;19;2002;4.6;0;11;4;36.4;2.41;0.88;0;0;16;0;0;0;1;1;0.09;-1;-1;22;4.83;16;0;2;0;4;0;1;0.22;1;0;0;0;0;0
24;Jaidon Anthony;eng ENG;MF,FW;Bournemouth;22;1999;14;3;22;13;59.1;1.58;0.93;0.14;0.23;19.3;2;0;0;2.2;2.2;0.1;0.8;0.8;38;2.72;28;3;4;1;1;1;4;0.29;2;0;1;0;1;0
25;Michail Antonio;jm JAM;FW;West Ham;32;1990;20.3;5;39;13;33.3;1.92;0.64;0.13;0.38;11.6;0;0;0;6.6;6.6;0.17;-1.6;-1.6;39;1.92;24;0;7;3;5;0;9;0.44;6;0;3;0;0;0
26;Antony;br BRA;FW;Manchester Utd;22;2000;20;4;72;24;33.3;3.6;1.2;0.06;0.17;19.6;0;0;0;6.6;6.6;0.09;-2.6;-2.6;74;3.69;61;0;5;3;4;1;7;0.35;6;0;1;0;0;0
27;Cameron Archer;eng ENG;FW,MF;Aston Villa;21;2001;0.5;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;Alphonse Areola;fr FRA;GK;West Ham;29;1993;3.4;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;Joe Aribo;ng NGA;MF,FW;Southampton;26;1996;13.6;2;14;8;57.1;1.03;0.59;0.14;0.25;10.9;0;0;0;1.5;1.5;0.11;0.5;0.5;27;1.99;23;0;1;1;1;1;2;0.15;1;0;1;0;0;0
30;Adam Armstrong;eng ENG;FW,MF;Southampton;25;1997;14.8;2;25;12;48;1.69;0.81;0.08;0.17;15.9;0;0;0;2.1;2.1;0.08;-0.1;-0.1;24;1.62;19;0;2;1;1;1;2;0.13;1;0;0;0;0;1
