Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;SCA;SCA90;PassLive;PassDead;TO;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;TO;Sh;Fld;Def
371;Daniel Mu?oz;co COL;DF;Crystal Palace;28;1996;35.9;4;37;14;37.8;1.03;0.39;0.11;0.29;12.7;0;0;0;4.9;4.9;0.13;-0.9;-0.9;85;2.37;69;2;2;6;1;5;11;0.31;9;0;1;1;0;0
372;Arijanet Muric;xk KVX;GK;Ipswich Town;25;1998;18;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;1;0.06;0;1;0;0;0;0;0;0;0;0;0;0;0;0
373;Murillo;br BRA;DF;Nott'ham Forest;22;2002;35.4;2;25;6;24;0.71;0.17;0.08;0.33;21.9;3;0;0;1.4;1.4;0.06;0.6;0.6;44;1.24;30;7;0;4;1;2;2;0.06;1;1;0;0;0;0
374;Jacob Murphy;eng ENG;FW;Newcastle Utd;29;1995;26.2;8;43;15;34.9;1.64;0.57;0.19;0.53;18.2;0;0;0;5.7;5.7;0.13;2.3;2.3;82;3.13;65;5;4;3;3;2;15;0.57;14;0;0;0;1;0
375;Vitaliy Mykolenko;ua UKR;DF;Everton;25;1999;34.2;1;14;1;7.1;0.41;0.03;0.07;1;20.6;0;0;0;0.5;0.5;0.04;0.5;0.5;43;1.26;40;0;1;2;0;0;4;0.12;3;0;0;1;0;0
376;Iliman Ndiaye;sn SEN;FW;Everton;24;2000;27;9;35;15;42.9;1.3;0.56;0.2;0.47;17.1;0;2;2;6.2;4.7;0.13;2.8;2.3;65;2.41;49;0;9;1;6;0;8;0.3;5;0;2;0;1;0
377;Wilfred Ndidi;ng NGA;MF;Leicester City;27;1996;25.8;0;22;8;36.4;0.85;0.31;0;0;13.9;0;0;0;2;2;0.09;-2;-2;31;1.2;29;0;1;1;0;0;4;0.15;4;0;0;0;0;0
378;Kosta Nedeljkoviæ;rs SRB;DF;Aston Villa;18;2005;1.4;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
379;Reiss Nelson;eng ENG;FW;Arsenal;24;1999;0;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
380;Reiss Nelson;eng ENG;FW;Fulham;24;1999;5.4;1;12;6;50;2.22;1.11;0.08;0.17;15.4;0;0;0;1.1;1.1;0.09;-0.1;-0.1;31;5.73;21;2;3;4;0;1;1;0.18;1;0;0;0;0;0
381;Neto;br BRA;GK;Bournemouth;35;1989;2;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
382;Pedro Neto;pt POR;FW;Chelsea;24;2000;25.2;4;59;17;28.8;2.34;0.67;0.07;0.24;18.2;0;0;0;3.5;3.5;0.06;0.5;0.5;90;3.57;64;9;6;7;4;0;9;0.36;5;1;2;1;0;0
383;Eddie Nketiah;eng ENG;FW,MF;Crystal Palace;25;1999;11.5;3;43;16;37.2;3.74;1.39;0.07;0.19;13.8;0;0;0;5.8;5.8;0.13;-2.8;-2.8;31;2.69;20;0;3;3;5;0;3;0.26;2;0;0;0;1;0
384;Christopher Nkunku;fr FRA;FW;Chelsea;26;1997;10.2;3;25;11;44;2.44;1.07;0.12;0.27;12.6;0;0;0;4.8;4.8;0.19;-1.8;-1.8;34;3.32;21;0;5;5;1;2;4;0.39;1;0;1;1;1;0
385;Gustavo Nunes;br BRA;FW,MF;Brentford;18;2005;0.1;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
386;Matheus Nunes;pt POR;DF,MF;Manchester City;25;1998;18.6;1;9;4;44.4;0.48;0.22;0.11;0.25;19;0;0;0;1.2;1.2;0.14;-0.2;-0.2;46;2.47;35;2;3;3;3;0;8;0.43;5;0;1;2;0;0
387;Darwin Nú?ez;uy URU;FW;Liverpool;25;1999;12.6;5;34;13;38.2;2.7;1.03;0.15;0.38;14.3;0;0;0;5.8;5.8;0.17;-0.8;-0.8;31;2.46;21;0;4;1;2;3;4;0.32;3;0;0;0;1;0
388;Ethan Nwaneri;eng ENG;FW,MF;Arsenal;17;2007;9.9;4;24;9;37.5;2.41;0.91;0.17;0.44;18.5;1;0;0;1.2;1.2;0.05;2.8;2.8;29;2.91;15;6;5;2;1;0;3;0.3;3;0;0;0;0;0
389;Christian N?rgaard;dk DEN;MF;Brentford;30;1994;31.3;5;39;15;38.5;1.25;0.48;0.13;0.33;14.3;0;0;0;4.3;4.3;0.11;0.7;0.7;58;1.85;48;0;0;7;2;1;13;0.42;11;0;0;1;1;0
390;Jake O'Brien;ie IRL;DF;Everton;23;2001;17.5;2;6;3;50;0.34;0.17;0.33;0.67;11.1;0;0;0;0.8;0.8;0.13;1.2;1.2;16;0.92;14;0;2;0;0;0;0;0;0;0;0;0;0;0
391;Matt O'Riley;dk DEN;MF;Brighton;23;2000;10.4;2;21;6;28.6;2.01;0.58;0.05;0.17;17.6;2;1;1;2.8;2;0.1;-0.8;-1;40;3.84;23;11;1;2;1;2;5;0.48;4;0;0;0;1;0
392;Dara O'Shea;ie IRL;DF;Ipswich Town;25;1999;34.7;0;22;2;9.1;0.63;0.06;0;0;13.6;0;0;0;1.3;1.3;0.06;-1.3;-1.3;24;0.69;19;0;0;2;2;1;4;0.12;4;0;0;0;0;0
393;Chidozie Obi-Martin;dk DEN;FW;Manchester Utd;16;2007;1.8;0;5;1;20;2.73;0.55;0;0;10.7;0;0;0;0.7;0.7;0.13;-0.7;-0.7;2;1.09;0;0;1;1;0;0;0;0;0;0;0;0;0;0
394;Wilson Odobert;fr FRA;FW,MF;Tottenham;19;2004;9.4;1;13;4;30.8;1.38;0.42;0.08;0.25;16.4;0;0;0;1.6;1.6;0.12;-0.6;-0.6;16;1.7;14;0;0;2;0;0;1;0.11;1;0;0;0;0;0
395;Chiedozie Ogbene;ie IRL;FW;Ipswich Town;27;1997;2.6;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;3;1.13;2;0;0;0;1;0;0;0;0;0;0;0;0;0
396;Caleb Okoli;it ITA;DF;Leicester City;23;2001;12.5;1;4;2;50;0.32;0.16;0.25;0.5;13.5;0;0;0;0.6;0.6;0.15;0.4;0.4;4;0.32;4;0;0;0;0;0;0;0;0;0;0;0;0;0
397;Robin Olsen;se SWE;GK;Aston Villa;34;1990;2.5;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;2;0.8;0;2;0;0;0;0;1;0.4;0;1;0;0;0;0
398;Amadou Onana;be BEL;MF;Aston Villa;22;2001;18;3;17;6;35.3;0.95;0.33;0.18;0.5;14.7;0;0;0;2.1;2.1;0.12;0.9;0.9;32;1.78;25;2;1;4;0;0;4;0.22;2;1;0;1;0;0
399;André Onana;cm CMR;GK;Manchester Utd;28;1996;34;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;4;0.12;3;1;0;0;0;0;0;0;0;0;0;0;0;0
400;Paul Onuachu;ng NGA;FW;Southampton;30;1994;11.7;4;34;15;44.1;2.91;1.29;0.12;0.27;10.4;0;0;0;3.6;3.6;0.11;0.4;0.4;9;0.77;8;0;0;1;0;0;1;0.09;1;0;0;0;0;0
401;Frank Onyeka;ng NGA;MF;Brentford;26;1998;0.3;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
402;Lewis Orford;eng ENG;MF;West Ham;18;2006;0.5;0;1;0;0;1.84;0;0;;12.7;0;0;0;0;0;0.03;0;0;2;3.67;2;0;0;0;0;0;0;0;0;0;0;0;0;0
403;Stefan Ortega;de GER;GK;Manchester City;31;1992;12.2;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
404;William Osula;dk DEN;FW;Newcastle Utd;20;2003;1.5;1;4;1;25;2.69;0.67;0.25;1;13.5;0;0;0;0.2;0.2;0.04;0.8;0.8;4;2.69;3;0;0;0;0;1;0;0;0;0;0;0;0;0
405;Dango Ouattara;bf BFA;FW;Bournemouth;22;2002;22.3;7;62;20;32.3;2.78;0.9;0.11;0.35;13.5;1;0;0;8.4;8.4;0.14;-1.4;-1.4;72;3.23;57;0;3;10;1;1;6;0.27;4;0;1;1;0;0
406;Nico O’Reilly;eng ENG;DF;Manchester City;19;2005;5.9;2;8;3;37.5;1.36;0.51;0.25;0.67;15.4;0;0;0;1.3;1.3;0.16;0.7;0.7;12;2.05;9;1;1;0;1;0;2;0.34;2;0;0;0;0;0
